'aute	s_ w t e
asegurarnos	a s e ɣ u ɾ ˈa ɾ n o s
aseguraron	a s e ɣ u ɾ ˈa ɾ o n
asegurarse	a s e ɣ u ɾ ˈa ɾ s e
aseguro	a s e ɣ ˈu ɾ o
aseguró	a s e ɣ u ɾ ˈo
asemeja	a s e m ˈe x a
asemejaban	a s e m e x ˈa β a n
asemejas	a s e m ˈe x a s
asequibles	a s e k ˈi β l e s
asesina	a s e s ˈi n a
asesinadas	a s e s i n ˈa ð a s
asesinaron	a s e s i n ˈa ɾ o n
asesinatos	a s e s i n ˈa t o s
asesino	a s e s ˈi n o
asesinos	a s e s ˈi n o s
asesores	a s e s ˈo ɾ e s
asfaltar	a s f a l t ˈa ɾ
asfixiado	a s f i k s j ˈa ð o
asfixiantes	a s f i k s j ˈa n t e s
asiento	a s j ˈe n t o
asientos	a s j ˈe n t o s
asignar	a s i g n ˈa ɾ
asignatura	a s i g n a t ˈu ɾ a
asimismo	a s i m ˈi s m o
asistencia	a s i s t ˈe n θ j a
asistente	a s i s t ˈe n t e
asistir	a s i s t ˈi ɾ
asistió	a s i s t j ˈo
asiáticas	a s j ˈa t i k a s
asocia	a s ˈo θ j a
asociaciones	a s o θ j a θ j ˈo n e s
asociación	a s o θ j a θ j ˈo n
asociada	a s o θ j ˈa ð a
asombra	a s ˈo m b ɾ a
asombroso	a s o m b ɾ ˈo s o
aspecto	a s p ˈe k t o
aspectos	a s p ˈe k t o s
aspirantes	a s p i ɾ ˈa n t e s
aspirina	a s p i ɾ ˈi n a
asturias	a s t ˈu ɾ j a s
astuto	a s t ˈu t o
asumir	a s u m ˈi ɾ
asunto	a s ˈu n t o
asuntos	a s ˈu n t o s
asustados	a s u s t ˈa ð o s
asustan	a s ˈu s t a n
asustando	a s u s t ˈa n d o
asustarán	a s u s t a ɾ ˈa n
asustas	a s ˈu s t a s
asusté	a s u s t ˈe
así	a s ˈi
asómbrate	a s ˈo m b ɾ a t e
ata	ˈa t a
atacado	a t a k ˈa ð o
atacan	a t ˈa k a n
atacando	a t a k ˈa n d o
atacar	a t a k ˈa ɾ
atacó	a t a k ˈo
ataques	a t ˈa k e s
atardecer	a t a ɾ d e θ ˈe ɾ
atardeceres	a t a ɾ d e θ ˈe ɾ e s
atascos	a t ˈa s k o s
ataviada	a t a β j ˈa ð a
atenas	a t ˈe n a s
atención	a t e n θ j ˈo n
atender	a t e n d ˈe ɾ
atendido	a t e n d ˈi ð o
atendidos	a t e n d ˈi ð o s
atendiera	a t e n d j ˈe ɾ a
atenta	a t ˈe n t a
atentamente	a t ˈe n t a m ˈe n t e
atento	a t ˈe n t o
atentos	a t ˈe n t o s
aterrada	a t e r ˈa ð a
aterrado	a t e r ˈa ð o
aterricemos	a t e r i θ ˈe m o s
aterrizajes	a t e r i θ ˈa x e s
atisbo	a t ˈi s b o
atletas	a t l ˈe t a s
atlántico	a t l ˈa n t i k o
atm	a t m
atormentabas	a t o ɾ m e n t ˈa β a s
atracadores	a t ɾ a k a ð ˈo ɾ e s
atracciones	a t ɾ a k θ j ˈo n e s
atracción	a t ɾ a k θ j ˈo n
atraco	a t ɾ ˈa k o
atractiva	a t ɾ a k t ˈi β a
atractivo	a t ɾ a k t ˈi β o
atrae	a t ɾ ˈa e
atraer	a t ɾ a ˈe ɾ
atraparla	a t ɾ a p ˈa ɾ l a
atraparlos	a t ɾ a p ˈa ɾ l o s
atrape	a t ɾ ˈa p e
atrapen	a t ɾ ˈa p e n
atravesar	a t ɾ a β e s ˈa ɾ
atravesó	a t ɾ a β e s ˈo
atraído	a t ɾ a ˈi ð o
atrevería	a t ɾ e β e ɾ ˈi a
atreves	a t ɾ ˈe β e s
atrevida	a t ɾ e β ˈi ð a
atrás	a t ɾ ˈa s
aturdido	a t u ɾ d ˈi ð o
atómica	a t ˈo m i k a
audioguía	a w ð j o ɣ w ˈi a
audioguías	a w ð j o ɣ ˈi a s
audiovisuales	a w ð j o β i s w ˈa l e s
aulas	ˈa w l a s
aumenta	a w m ˈe n t a
aumentado	a w m e n t ˈa ð o
aumentar	a w m e n t ˈa ɾ
aumentara	a w m e n t ˈa ɾ a
aumentaron	a w m e n t ˈa ɾ o n
aumentará	a w m e n t a ɾ ˈa
aumentarán	a w m e n t a ɾ ˈa n
aumentas	a w m ˈe n t a s
aumento	a w m ˈe n t o
aun	a w n
aunque	a w n k e
aurrera'	a w r e ɾ s_
ausencia	a w s ˈe n θ j a
austerlich	a w s t e ɾ l ˈi ʧ
australianos	a w s t ɾ a l j ˈa n o s
autoanalizarte	a w t o a n a l i θ ˈa ɾ t e
autobuses	a w t o β ˈu s e s
autobús	a w t o β ˈu s
automático	a w t o m ˈa t i k o
automáticos	a w t o m ˈa t i k o s
autonomía	a w t o n o m ˈi a
autonómicos	a w t o n ˈo m i k o s
autor	a w t ˈo ɾ
autora	a w t ˈo ɾ a
autores	a w t ˈo ɾ e s
autoridad	a w t o ɾ i ð ˈa d
autoridades	a w t o ɾ i ð ˈa ð e s
autorización	a w t o ɾ i θ a θ j ˈo n
autorizada	a w t o ɾ i θ ˈa ð a
autorizado	a w t o ɾ i θ ˈa ð o
auténtica	a w t ˈe n t i k a
auténticas	a w t ˈe n t i k a s
auténtico	a w t ˈe n t i k o
auténticos	a w t ˈe n t i k o s
autóctonos	a w t ˈo k t o n o s
autónomos	a w t ˈo n o m o s
avance	a β ˈa n θ e
avances	a β ˈa n θ e s
avanzaba	a β a n θ ˈa β a
avanzado	a β a n θ ˈa ð o
avanzados	a β a n θ ˈa ð o s
avanzando	a β a n θ ˈa n d o
avanzar	a β a n θ ˈa ɾ
aventuro	a β e n t ˈu ɾ o
averiguaba	a β e ɾ i ɣ w ˈa β a
averiguar	a β e ɾ i ɣ w ˈa ɾ
averiguaremos	a β e ɾ i ɣ w a ɾ ˈe m o s
averiguaron	a β e ɾ i ɣ w ˈa ɾ o n
averigüé	a β e ɾ i ɣ w ˈe
avería	a β e ɾ ˈi a
aves	ˈa β e s
aviones	a β j ˈo n e s
avisa	a β ˈi s a
avisado	a β i s ˈa ð o
avisar	a β i s ˈa ɾ
avisarles	a β i s ˈa ɾ l e s
avisaré	a β i s a ɾ ˈe
aviso	a β ˈi s o
avisos	a β ˈi s o s
avisé	a β i s ˈe
avisó	a β i s ˈo
avión	a β j ˈo n
avísenme	a β ˈi s e n m e
ayuda	a ʝ ˈu ð a
ayudaba	a ʝ u ð ˈa β a
ayudado	a ʝ u ð ˈa ð o
ayudan	a ʝ ˈu ð a n
ayudar	a ʝ u ð ˈa ɾ
ayudarle	a ʝ u ð ˈa ɾ l e
ayudarme	a ʝ u ð ˈa ɾ m e
ayudarnos	a ʝ u ð ˈa ɾ n o s
ayudaron	a ʝ u ð ˈa ɾ o n
ayudarte	a ʝ u ð ˈa ɾ t e
ayudará	a ʝ u ð a ɾ ˈa
ayudaría	a ʝ u ð a ɾ ˈi a
ayude	a ʝ ˈu ð e
ayudemos	a ʝ u ð ˈe m o s
ayuden	a ʝ ˈu ð e n
ayudes	a ʝ ˈu ð e s
ayudó	a ʝ u ð ˈo
ayuntamiento	a ʝ u n t a m j ˈe n t o
ayuntamientos	a ʝ u n t a m j ˈe n t o s
aznar	a θ n ˈa ɾ
azotar	a θ o t ˈa ɾ
azoteas	a θ o t ˈe a s
azotes	a θ ˈo t e s
azul	a θ ˈu l
azulejos	a θ u l ˈe x o s
azules	a θ ˈu l e s
azóteme	a θ ˈo t e m e
azúcar	a θ ˈu k a ɾ
añade	a ɲ ˈa ð e
añadido	a ɲ a ð ˈi ð o
añadir	a ɲ a ð ˈi ɾ
añadirse	a ɲ a ð ˈi ɾ s e
añejo	a ɲ ˈe x o
año	ˈa ɲ o
años	ˈa ɲ o s
aún	a ˈu n
bachillerato	b a ʧ i ʝ e ɾ ˈa t o
bailable	b a j l ˈa β l e
bailado	b a j l ˈa ð o
bailando	b a j l ˈa n d o
bailar	b a j l ˈa ɾ
bailaras	b a j l ˈa ɾ a s
bailarines	b a j l a ɾ ˈi n e s
bajado	b a x ˈa ð o
bajan	b ˈa x a n
bajando	b a x ˈa n d o
bajar	b a x ˈa ɾ
bajarás	b a x a ɾ ˈa s
bajas	b ˈa x a s
bajo	b ˈa x o
bajos	b ˈa x o s
balcanes	b a l k ˈa n e s
balcón	b a l k ˈo n
baldosa	b a l d ˈo s a
baleares	b a l e ˈa ɾ e s
balearia	b a l e ˈa ɾ j a
baloncesto	b a l o n θ ˈe s t o
balthus	b a l t ˈu s
bancaria	b a n k ˈa ɾ j a
bancos	b ˈa n k o s
bandeja	b a n d ˈe x a
bankademia	b a n k a ð ˈe m j a
banquero	b a n k ˈe ɾ o
bar	b ˈa ɾ
barandilla	b a ɾ a n d ˈi ʝ a
baratas	b a ɾ ˈa t a s
barato	b a ɾ ˈa t o
baratos	b a ɾ ˈa t o s
baratísimo	b a ɾ a t ˈi s i m o
barbacoa	b a ɾ b a k ˈo a
barcas	b ˈa ɾ k a s
barcos	b ˈa ɾ k o s
bargueños	b a ɾ ɣ ˈe ɲ o s
barlovento	b a ɾ l o β ˈe n t o
barquita	b a ɾ k ˈi t a
barrigudos	b a r i ɣ ˈu ð o s
barón	b a ɾ ˈo n
basada	b a s ˈa ð a
bastante	b a s t ˈa n t e
bastantes	b a s t ˈa n t e s
basura	b a s ˈu ɾ a
basural	b a s u ɾ ˈa l
basílica	b a s ˈi l i k a
batallas	b a t ˈa ʝ a s
batas	b ˈa t a s
batería	b a t e ɾ ˈi a
batiburrillo	b a t i β u r ˈi ʝ o
battersea	b t e ɾ s ˈe a
baudelaire	b a w ð e l ˈa j ɾ e
bautizo	b a w t ˈi θ o
bayoneta	b a ʝ o n ˈe t a
bañada	b a ɲ ˈa ð a
bañando	b a ɲ ˈa n d o
bañarse	b a ɲ ˈa ɾ s e
baño	b ˈa ɲ o
baños	b ˈa ɲ o s
baúl	b a ˈu l
bbb	b b
be	b e
beberlo	b e β ˈe ɾ l o
bebida	b e β ˈi ð a
bebidas	b e β ˈi ð a s
bebé	b e β ˈe
bebés	b e β ˈe s
belgrado	b e l g ɾ ˈa ð o
belleza	b e ʝ ˈe θ a
bellos	b ˈe ʝ o s
bellísima	b e ʝ ˈi s i m a
bellísimas	b e ʝ ˈi s i m a s
bellísimos	b e ʝ ˈi s i m o s
ben	b e n
bendiciones	b e n d i θ j ˈo n e s
beneficiados	b e n e f i θ j ˈa ð o s
beneficiarios	b e n e f i θ j ˈa ɾ j o s
beneficiarnos	b e n e f i θ j ˈa ɾ n o s
beneficios	b e n e f ˈi θ j o s
beodo	b e ˈo ð o
bercket	b ˈe ɾ k ˈe t
berlín	b e ɾ l ˈi n
besa	b ˈe s a
besaba	b e s ˈa β a
besarme	b e s ˈa ɾ m e
beso	b ˈe s o
betancuria	b e t a n k ˈu ɾ j a
biblia	b ˈi β l j a
biblioteca	b i β l j o t ˈe k a
bici	b ˈi θ i
bicicleta	b i θ i k l ˈe t a
bicicletas	b i θ i k l ˈe t a s
bicis	b i θ i s
bien	b j e n
bienes	b j ˈe n e s
bienestar	b j e n e s t ˈa ɾ
bienvenido	b j e m b e n ˈi ð o
bienvenidos	b j e m b e n ˈi ð o s
billete	b i ʝ ˈe t e
billetes	b i ʝ ˈe t e s
billones	b i ʝ ˈo n e s
biológico	b j o l ˈo x i k o
birria	b ˈi r j a
bis	b i s
bistec	b i s t ˈe k
bizco	b ˈi θ k o
blancas	b l ˈa n k a s
blockchain	b l ˈo k ʧ ˈa j n
bloquear	b l o k e ˈa ɾ
blusa	b l ˈu s a
bndes	b n d e s
bocas	b ˈo k a s
bochornoso	b o ʧ o ɾ n ˈo s o
bodas	b ˈo ð a s
bodega	b o ð ˈe ɣ a
bolera	b o l ˈe ɾ a
boletos	b o l ˈe t o s
bolsas	b ˈo l s a s
bolsillo	b o l s ˈi ʝ o
bolsillos	b o l s ˈi ʝ o s
bolso	b ˈo l s o
bolsones	b o l s ˈo n e s
bolsos	b ˈo l s o s
bombardeo	b o m b a ɾ d ˈe o
bombas	b ˈo m b a s
bombillas	b o m b ˈi ʝ a s
bombo	b ˈo m b o
bombos	b ˈo m b o s
bonitas	b o n ˈi t a s
bonito	b o n ˈi t o
bonitos	b o n ˈi t o s
bonos	b ˈo n o s
boquiabiertos	b o k j a β j ˈe ɾ t o s
bordado	b o ɾ d ˈa ð o
borde	b ˈo ɾ d e
bordo	b ˈo ɾ d o
borgoña	b o ɾ g ˈo ɲ a
borracho	b o r ˈa ʧ o
borrado	b o r ˈa ð o
borrados	b o r ˈa ð o s
borrar	b o r ˈa ɾ
bosque	b ˈo s k e
bote	b ˈo t e
botella	b o t ˈe ʝ a
botera	b o t ˈe ɾ a
botiquín	b o t i k ˈi n
botones	b o t ˈo n e s
botánico	b o t ˈa n i k o
botín	b o t ˈi n
boxear	b o k s e ˈa ɾ
boxeo	b o k s ˈe o
brasileña	b ɾ a s i l ˈe ɲ a
brazo	b ɾ ˈa θ o
breve	b ɾ ˈe β e
breves	b ɾ ˈe β e s
brexit	b ɾ e k s ˈi t
brigada	b ɾ i ɣ ˈa ð a
brillante	b ɾ i ʝ ˈa n t e
brillo	b ɾ ˈi ʝ o
brisa	b ɾ ˈi s a
britania	b ɾ i t ˈa n j a
británicos	b ɾ i t ˈa n i k o s
broma	b ɾ ˈo m a
bromas	b ɾ ˈo m a s
bronce	b ɾ ˈo n θ e
bronquitis	b ɾ o n k ˈi t i s
brote	b ɾ ˈo t e
bruscamente	b ɾ ˈu s k a m ˈe n t e
brusquedad	b ɾ u s k e ð ˈa d
bruta	b ɾ ˈu t a
brutalidad	b ɾ u t a l i ð ˈa d
buceo	b u θ ˈe o
buen	b w e n
buenas	b w ˈe n a s
buenísima	b w e n ˈi s i m a
buenísimo	b w e n ˈi s i m o
buey	b w ˈe j
bulliciosa	b u ʝ i θ j ˈo s a
bulos	b u l o s
bum	b ˈu m
buque	b ˈu k e
burla	b ˈu ɾ l a
burlarse	b u ɾ l ˈa ɾ s e
burlas	b u ɾ l a s
burocracia	b u ɾ o k ɾ ˈa θ j a
buró	b u ɾ ˈo
busca	b ˈu s k a
buscaban	b u s k ˈa β a n
buscado	b u s k ˈa ð o
buscamos	b u s k ˈa m o s
buscan	b ˈu s k a n
buscando	b u s k ˈa n d o
buscar	b u s k ˈa ɾ
buscaremos	b u s k a ɾ ˈe m o s
buscarla	b u s k ˈa ɾ l a
buscarle	b u s k ˈa ɾ l e
buscarlo	b u s k ˈa ɾ l o
buscaré	b u s k a ɾ ˈe
buscaría	b u s k a ɾ ˈi a
buscas	b ˈu s k a s
busco	b ˈu s k o
busque	b ˈu s k e
busqué	b u s k ˈe
butaca	b u t ˈa k a
butacas	b u t ˈa k a s
bye	b ˈe_yes
básica	b ˈa s i k a
básicamente	b ˈa s i k a m ˈe n t e
básicas	b ˈa s i k a s
béisbol	b ˈe j s b o l
bíblicas	b ˈi β l i k a s
búhos	b ˈu o s
búlgaras	b ˈu l g a ɾ a s
búsqueda	b ˈu s k e ð a
ca	k a
cabalgando	k a β a l g ˈa n d o
caballitos	k a β a ʝ ˈi t o s
caballo	k a β ˈa ʝ o
caballos	k a β ˈa ʝ o s
cabeza	k a β ˈe θ a
cabildo	k a β ˈi l d o
cabinas	k a β ˈi n a s
cabo	k ˈa β o
cabras	k ˈa β ɾ a s
cabreada	k a β ɾ e ˈa ð a
cabría	k a β ɾ ˈi a
cacas	k ˈa k a s
caceroladas	k a θ e ɾ o l ˈa ð a s
cada	k ˈa ð a
cadenas	k a ð ˈe n a s
caducidad	k a ð u θ i ð ˈa d
cadáver	k a ð ˈa β e ɾ
cae	k ˈa e
caer	k a ˈe ɾ
caerle	k a ˈe ɾ l e
caerá	k a e ɾ ˈa
caerán	k a e ɾ ˈa n
caería	k a e ɾ ˈi a
caerían	k a e ɾ ˈi a n
cafetería	k a f e t e ɾ ˈi a
cafeterías	k a f e t e ɾ ˈi a s
café	k a f ˈe
cafés	k a f ˈe s
caiga	k ˈa j ɣ a
caixa	k ˈa ʃ a
caja	k ˈa x a
cajero	k a x ˈe ɾ o
cajeros	k a x ˈe ɾ o s
cajita	k a x ˈi t a
cajún	k a x ˈu n
calas	k ˈa l a s
calaña	k a l ˈa ɲ a
calefacción	k a l e f a k θ j ˈo n
calendario	k a l e n d ˈa ɾ j o
calentaba	k a l e n t ˈa β a
calentar	k a l e n t ˈa ɾ
calentita	k a l e n t ˈi t a
calidad	k a l i ð ˈa d
caliente	k a l j ˈe n t e
calificación	k a l i f i k a θ j ˈo n
calificado	k a l i f i k ˈa ð o
calificadora	k a l i f i k a ð ˈo ɾ a
callada	k a ʝ ˈa ð a
callejeros	k a ʝ e x ˈe ɾ o s
callejuela	k a ʝ e x w ˈe l a
callejuelas	k a ʝ e x w ˈe l a s
calmaba	k a l m ˈa β a
calmada	k a l m ˈa ð a
calmas	k ˈa l m a s
calme	k ˈa l m e
calurosa	k a l u ɾ ˈo s a
calurosas	k a l u ɾ ˈo s a s
caluroso	k a l u ɾ ˈo s o
calva	k ˈa l b a
calviño	k a l b ˈi ɲ o
cama	k ˈa m a
camarero	k a m a ɾ ˈe ɾ o
camareros	k a m a ɾ ˈe ɾ o s
camarote	k a m a ɾ ˈo t e
camas	k ˈa m a s
cambia	k ˈa m b j a
cambiado	k a m b j ˈa ð o
cambian	k ˈa m b j a n
cambiando	k a m b j ˈa n d o
cambiante	k a m b j ˈa n t e
cambiar	k a m b j ˈa ɾ
cambiara	k a m b j ˈa ɾ a
cambiarás	k a m b j a ɾ ˈa s
cambiaría	k a m b j a ɾ ˈi a
cambio	k ˈa m b j o
cambios	k ˈa m b j o s
camina	k a m ˈi n a
caminamos	k a m i n ˈa m o s
caminar	k a m i n ˈa ɾ
caminos	k a m ˈi n o s
camiones	k a m j ˈo n e s
camisa	k a m ˈi s a
camisas	k a m ˈi s a s
camión	k a m j ˈo n
campamento	k a m p a m ˈe n t o
campaña	k a m p ˈa ɲ a
campañas	k a m p ˈa ɲ a s
campeón	k a m p e ˈo n
canadá	k a n a ð ˈa
canalizarlo	k a n a l i θ ˈa ɾ l o
canalla	k a n ˈa ʝ a
canarios	k a n ˈa ɾ j o s
canastilla	k a n a s t ˈi ʝ a
cancelación	k a n θ e l a θ j ˈo n
cancelado	k a n θ e l ˈa ð o
cancelar	k a n θ e l ˈa ɾ
cancelaré	k a n θ e l a ɾ ˈe
canciones	k a n θ j ˈo n e s
canción	k a n θ j ˈo n
candidatos	k a n d i ð ˈa t o s
candidatura	k a n d i ð a t ˈu ɾ a
cansada	k a n s ˈa ð a
cansado	k a n s ˈa ð o
cansados	k a n s ˈa ð o s
cansarse	k a n s ˈa ɾ s e
cansaré	k a n s a ɾ ˈe
cansas	k ˈa n s a s
canse	k ˈa n s e
cantada	k a n t ˈa ð a
cantan	k a n t a n
cantante	k a n t ˈa n t e
cantantes	k a n t ˈa n t e s
cantar	k a n t ˈa ɾ
cantidad	k a n t i ð ˈa d
cantos	k ˈa n t o s
caos	k ˈa o s
capa	k ˈa p a
capaces	k a p ˈa θ e s
capacidad	k a p a θ i ð ˈa d
capacidades	k a p a θ i ð ˈa ð e s
capataz	k a p a t ˈa θ
capaz	k a p ˈa θ
capilla	k a p ˈi ʝ a
capitales	k a p i t ˈa l e s
capitalino	k a p i t a l ˈi n o
capitalizado	k a p i t a l i θ ˈa ð o
capitaneado	k a p i t a n e ˈa ð o
capitán	k a p i t ˈa n
capricho	k a p ɾ ˈi ʧ o
capricornio	k a p ɾ i k ˈo ɾ n j o
captura	k a p t ˈu ɾ a
capítulo	k a p ˈi t u l o
caracteres	k a ɾ a k t ˈe ɾ e s
característica	k a ɾ a k t e ɾ ˈi s t i k a
características	k a ɾ a k t e ɾ ˈi s t i k a s
carbonizado	k a ɾ b o n i θ ˈa ð o
carbón	k a ɾ b ˈo n
cardenal	k a ɾ d e n ˈa l
cardiopulmonar	k a ɾ d j o p u l m o n ˈa ɾ
carece	k a ɾ ˈe θ e
carga	k ˈa ɾ g a
cargada	k a ɾ g ˈa ð a
cargadas	k a ɾ g ˈa ð a s
cargado	k a ɾ g ˈa ð o
cargamento	k a ɾ g a m ˈe n t o
cargamos	k a ɾ g ˈa m o s
cargar	k a ɾ g ˈa ɾ
cargarlo	k a ɾ g ˈa ɾ l o
caridad	k a ɾ i ð ˈa d
carisma	k a ɾ ˈi s m a
caritas	k a ɾ ˈi t a s
cariño	k a ɾ ˈi ɲ o
carmena	k a ɾ m e n a
carnet	k a ɾ n ˈe t
caros	k ˈa ɾ o s
carrefour	k a r e f ˈo w ɾ
carrete	k a r ˈe t e
carretera	k a r e t ˈe ɾ a
carreteras	k a r e t ˈe ɾ a s
carretilla	k a r e t ˈi ʝ a
carros	k ˈa r o s
carruaje	k a r w ˈa x e
cartas	k ˈa ɾ t a s
carteles	k a ɾ t ˈe l e s
carteristas	k a ɾ t e ɾ ˈi s t a s
carácter	k a ɾ ˈa k t e ɾ
casadas	k a s ˈa ð a s
casan	k ˈa s a n
casaras	k a s ˈa ɾ a s
casarme	k a s ˈa ɾ m e
casarse	k a s ˈa ɾ s e
casarte	k a s ˈa ɾ t e
casará	k a s a ɾ ˈa
casaré	k a s a ɾ ˈe
casaríamos	k a s a ɾ ˈi a m o s
casaste	k a s ˈa s t e
cascadas	k a s k ˈa ð a s
cascos	k ˈa s k o s
casi	k ˈa s i
casos	k ˈa s o s
casuales	k a s w ˈa l e s
casualidades	k a s w a l i ð ˈa ð e s
casé	k a s ˈe
catalana	k a t a l ˈa n a
catalanas	k a t a l ˈa n a s
catalunya	k a t a l ˈu ɲ a
catalán	k a t a l ˈa n
catamos	k a t ˈa m o s
catedral	k a t e ð ɾ ˈa l
catedráticos	k a t e ð ɾ ˈa t i k o s
categorías	k a t e ɣ o ɾ ˈi a s
catorce	k a t ˈo ɾ θ e
catálogo	k a t ˈa l o ɣ o
causado	k a w s ˈa ð o
causan	k a w s a n
causar	k a w s ˈa ɾ
causas	k ˈa w s a s
causó	k a w s ˈo
cautela	k a w t ˈe l a
cautiva	k a w t ˈi β a
cayendo	k a ʝ ˈe n d o
cayeron	k a ʝ ˈe ɾ o n
cayó	k a ʝ ˈo
cazador	k a θ a ð ˈo ɾ
cazando	k a θ ˈa n d o
caía	k a ˈi a
caída	k a ˈi ð a
caídas	k a ˈi ð a s
caídos	k a ˈi ð o s
cañón	k a ɲ ˈo n
caótica	k a ˈo t i k a
ce	θ e
cebo	θ ˈe β o
cedidas	θ e ð ˈi ð a s
cegada	θ e ɣ ˈa ð a
cejas	θ ˈe x a s
celda	θ ˈe l d a
celebraciones	θ e l e β ɾ a θ j ˈo n e s
celebración	θ e l e β ɾ a θ j ˈo n
celebran	θ e l ˈe β ɾ a n
celebrar	θ e l e β ɾ ˈa ɾ
celebrarán	θ e l e β ɾ a ɾ ˈa n
celos	θ ˈe l o s
celosa	θ e l ˈo s a
celoso	θ e l ˈo s o
cementerio	θ e m e n t ˈe ɾ j o
cena	θ ˈe n a
cenado	θ e n ˈa ð o
cenador	θ e n a ð ˈo ɾ
cenan	θ ˈe n a n
cenar	θ e n ˈa ɾ
cenicero	θ e n i θ ˈe ɾ o
cenital	θ e n i t ˈa l
cenizas	θ e n ˈi θ a s
censurable	θ e n s u ɾ ˈa β l e
centavo	θ e n t ˈa β o
centella	θ e n t ˈe ʝ a
centenas	θ e n t ˈe n a s
centrado	θ e n t ɾ ˈa ð o
centrales	θ e n t ɾ ˈa l e s
centrarán	θ e n t ɾ a ɾ ˈa n
centro	θ ˈe n t ɾ o
centroeuropa	θ e n t ɾ o e w ɾ ˈo p a
centros	θ e n t ɾ o s
centígrados	θ e n t ˈi ɣ ɾ a ð o s
centímetros	θ e n t ˈi m e t ɾ o s
cepillos	θ e p ˈi ʝ o s
cerca	θ ˈe ɾ k a
cercanas	θ e ɾ k ˈa n a s
cercano	θ e ɾ k ˈa n o
cercanos	θ e ɾ k ˈa n o s
cercanía	θ e ɾ k a n ˈi a
cerebro	θ e ɾ ˈe β ɾ o
ceremonia	θ e ɾ e m ˈo n j a
cero	θ ˈe ɾ o
cerradas	θ e r ˈa ð a s
cerrado	θ e r ˈa ð o
cerrados	θ e r ˈa ð o s
cerrando	θ e r ˈa n d o
cerrar	θ e r ˈa ɾ
certificado	θ e ɾ t i f i k ˈa ð o
certificados	θ e ɾ t i f i k ˈa ð o s
cervezas	θ e ɾ b ˈe θ a s
cerámica	θ e ɾ ˈa m i k a
cerámicas	θ e ɾ ˈa m i k a s
cesta	θ ˈe s t a
cestas	θ ˈe s t a s
ceuta	θ ˈe w t a
ceñido	θ e ɲ ˈi ð o
chaleco	ʧ a l ˈe k o
champán	ʧ a m p ˈa n
chaqueta	ʧ a k ˈe t a
chaquetas	ʧ a k ˈe t a s
charlar	ʧ a ɾ l ˈa ɾ
charlas	ʧ ˈa ɾ l a s
chascarrillo	ʧ a s k a r ˈi ʝ o
chaval	ʧ a β ˈa l
chica	ʧ ˈi k a
chicas	ʧ ˈi k a s
chicos	ʧ ˈi k o s
chillido	ʧ i ʝ ˈi ð o
chimenea	ʧ i m e n ˈe a
chinas	ʧ ˈi n a s
chinos	ʧ ˈi n o s
chiquillo	ʧ i k ˈi ʝ o
chiringuito	ʧ i ɾ i n ɣ ˈi t o
chiringuitos	ʧ i ɾ i n ɣ ˈi t o s
chistes	ʧ ˈi s t e s
chizuko	ʧ i θ ˈu k o
chomsky	ʧ ˈo m s k i
choza	ʧ ˈo θ a
chozas	ʧ ˈo θ a s
chubasqueros	ʧ u β a s k ˈe ɾ o s
chueca	ʧ w ˈe k a
chulas	ʧ ˈu l a s
chulos	ʧ ˈu l o s
chófer	ʧ ˈo f e ɾ
cibeles	θ i β ˈe l e s
ciclo	θ ˈi k l o
ciclos	θ ˈi k l o s
ciegamente	θ j ˈe ɣ a m ˈe n t e
ciego	θ j ˈe ɣ o
cielo	θ j ˈe l o
cien	θ j e n
ciencia	θ j ˈe n θ j a
ciento	θ j ˈe n t o
cientos	θ j ˈe n t o s
científico	θ j e n t ˈi f i k o
científicos	θ j e n t ˈi f i k o s
cierra	θ j ˈe r a
cierre	θ j ˈe r e
cierren	θ j ˈe r e n
cierres	θ j ˈe r e s
cierro	θ j ˈe r o
cierta	θ j ˈe ɾ t a
ciertamente	θ j ˈe ɾ t a m ˈe n t e
ciertas	θ j ˈe ɾ t a s
cierto	θ j ˈe ɾ t o
ciertos	θ j ˈe ɾ t o s
ciervo	θ j ˈe ɾ b o
cifras	θ ˈi f ɾ a s
cigarrillos	θ i ɣ a r ˈi ʝ o s
cil	θ i l
cilindros	θ i l ˈi n d ɾ o s
cimientos	θ i m j ˈe n t o s
cincuenta	θ i n k w ˈe n t a
cine	θ ˈi n e
cinematográfico	θ i n e m a t o ɣ ɾ ˈa f i k o
cines	θ ˈi n e s
cinesa	θ i n ˈe s a
cineásticamente	θ i n e ˈa s t i k a m ˈe n t e
cinismo	θ i n ˈi s m o
cinta	θ ˈi n t a
cinturón	θ i n t u ɾ ˈo n
cinéticos	θ i n ˈe t i k o s
circulando	θ i ɾ k u l ˈa n d o
circundantes	θ i ɾ k u n d ˈa n t e s
circunstancias	θ i ɾ k u n s t ˈa n θ j a s
ciruelas	θ i ɾ w ˈe l a s
cisnes	θ ˈi s n e s
cisterna	θ i s t ˈe ɾ n a
cita	θ ˈi t a
citas	θ ˈi t a s
ciudadano	θ j u ð a ð ˈa n o
ciudadanos	θ j u ð a ð ˈa n o s
ciudades	θ j u ð ˈa ð e s
civilidad	θ i β i l i ð ˈa d
civilización	θ i β i l i θ a θ j ˈo n
claramente	k l ˈa ɾ a m ˈe n t e
claras	k l ˈa ɾ a s
claridad	k l a ɾ i ð ˈa d
claros	k l ˈa ɾ o s
clase	k l ˈa s e
clases	k l ˈa s e s
